smiles,logP,qed,SAS,Canonical_SMILES,Random_SMILES_1,Random_SMILES_2,NonIsomeric_SMILES,Kekule_SMILES,SMILES_with_Hs,Branchless_SMILES,SMILES_2D
"C[C@@H](Nc1ccc2c(c1)CCC2)C(=O)N1CCCC1
",2.5981,0.901092756,2.458359287,C[C@@H](Nc1ccc2c(c1)CCC2)C(=O)N1CCCC1,N1(C(=O)[C@H](Nc2cc3c(CCC3)cc2)C)CCCC1,N1(C([C@H](Nc2cc3CCCc3cc2)C)=O)CCCC1,CC(Nc1ccc2c(c1)CCC2)C(=O)N1CCCC1,C[C@@H](NC1=CC=C2CCCC2=C1)C(=O)N1CCCC1,[CH3][C@@H]([NH][c]1[cH][cH][c]2[c]([cH]1)[CH2][CH2][CH2]2)[C](=[O])[N]1[CH2][CH2][CH2][CH2]1,C[C@@H]Nc1ccc2cc1CCC2C=ON1CCCC1,C[C@@H](Nc1ccc2c(c1)CCC2)C(=O)N1CCCC1
"CCOc1ccc(Nc2ccc(C#N)c([N+](=O)[O-])c2)cc1
",3.60878,0.651562781,2.045455354,CCOc1ccc(Nc2ccc(C#N)c([N+](=O)[O-])c2)cc1,c1c(Nc2ccc(OCC)cc2)cc(c(c1)C#N)[N+](=O)[O-],N#Cc1ccc(Nc2ccc(cc2)OCC)cc1[N+]([O-])=O,CCOc1ccc(Nc2ccc(C#N)c([N+](=O)[O-])c2)cc1,CCOC1=CC=C(NC2=CC=C(C#N)C([N+](=O)[O-])=C2)C=C1,[CH3][CH2][O][c]1[cH][cH][c]([NH][c]2[cH][cH][c]([C]#[N])[c]([N+](=[O])[O-])[cH]2)[cH][cH]1,CCOc1cccNc2cccC#Nc[N+]=O[O-]c2cc1,CCOc1ccc(Nc2ccc(C#N)c([N+](=O)[O-])c2)cc1
"CC(C)OC(=O)CCNC(=O)c1cnn(-c2ccc(F)cc2)n1
",1.4779,0.822812389,2.291660206,CC(C)OC(=O)CCNC(=O)c1cnn(-c2ccc(F)cc2)n1,n1n(-c2ccc(F)cc2)nc(C(=O)NCCC(OC(C)C)=O)c1,C(OC(C)C)(CCNC(c1cnn(n1)-c1ccc(F)cc1)=O)=O,CC(C)OC(=O)CCNC(=O)c1cnn(-c2ccc(F)cc2)n1,CC(C)OC(=O)CCNC(=O)C1=NN(C2=CC=C(F)C=C2)N=C1,[CH3][CH]([CH3])[O][C](=[O])[CH2][CH2][NH][C](=[O])[c]1[cH][n][n](-[c]2[cH][cH][c]([F])[cH][cH]2)[n]1,CCCOC=OCCNC=Oc1cnn-c2cccFcc2n1,CC(C)OC(=O)CCNC(=O)c1cnn(-c2ccc(F)cc2)n1
"CCCCOc1ccccc1NC(=O)c1scnc1C1CC1
",4.4517,0.734537329,2.300655225,CCCCOc1ccccc1NC(=O)c1scnc1C1CC1,n1csc(C(=O)Nc2c(cccc2)OCCCC)c1C1CC1,C1(c2c(C(Nc3c(OCCCC)cccc3)=O)scn2)CC1,CCCCOc1ccccc1NC(=O)c1scnc1C1CC1,CCCCOC1=CC=CC=C1NC(=O)C1=C(C2CC2)N=CS1,[CH3][CH2][CH2][CH2][O][c]1[cH][cH][cH][cH][c]1[NH][C](=[O])[c]1[s][cH][n][c]1[CH]1[CH2][CH2]1,CCCCOc1ccccc1NC=Oc1scnc1C1CC1,CCCCOc1ccccc1NC(=O)c1scnc1C1CC1
"O=C1N=C(N2CCCCC2)S/C1=C1/C(=O)Nc2ccccc21
",2.4651,0.747021214,2.497357492,O=C1N=C(N2CCCCC2)S/C1=C1/C(=O)Nc2ccccc21,C1(/C(c2ccccc2N1)=C1/SC(=NC1=O)N1CCCCC1)=O,N1(CCCCC1)C1S/C(C(N=1)=O)=C1/C(=O)Nc2ccccc21,O=C1N=C(N2CCCCC2)SC1=C1C(=O)Nc2ccccc21,O=C1N=C(N2CCCCC2)S/C1=C1/C(=O)NC2=CC=CC=C12,[O]=[C]1[N]=[C]([N]2[CH2][CH2][CH2][CH2][CH2]2)[S]/[C]1=[C]1/[C](=[O])[NH][c]2[cH][cH][cH][cH][c]21,O=C1N=CN2CCCCC2S/C1=C1/C=ONc2ccccc21,O=C1N=C(N2CCCCC2)S/C1=C1/C(=O)Nc2ccccc21
"Cc1c([C@H](C)NC(=O)c2[nH]c3ccccc3c2Cl)cnn1C
",3.35422,0.763445662,2.787395154,Cc1c([C@H](C)NC(=O)c2[nH]c3ccccc3c2Cl)cnn1C,c12ccccc2c(Cl)c(C(=O)N[C@H](c2cnn(c2C)C)C)[nH]1,n1(c(C)c(cn1)[C@H](C)NC(=O)c1c(Cl)c2ccccc2[nH]1)C,Cc1c(C(C)NC(=O)c2[nH]c3ccccc3c2Cl)cnn1C,CC1=C([C@H](C)NC(=O)C2=C(Cl)C3=CC=CC=C3N2)C=NN1C,[CH3][c]1[c]([C@H]([CH3])[NH][C](=[O])[c]2[nH][c]3[cH][cH][cH][cH][c]3[c]2[Cl])[cH][n][n]1[CH3],Cc1c[C@H]CNC=Oc2[nH]c3ccccc3c2Clcnn1C,Cc1c([C@H](C)NC(=O)c2[nH]c3ccccc3c2Cl)cnn1C
"CSc1cccc2sc(N3CCN(C(=O)c4ccn(C(C)C)n4)CC3)nc12
",3.758,0.605024749,2.588306381,CSc1cccc2sc(N3CCN(C(=O)c4ccn(C(C)C)n4)CC3)nc12,C1CN(c2sc3c(c(ccc3)SC)n2)CCN1C(=O)c1ccn(C(C)C)n1,c12nc(N3CCN(CC3)C(=O)c3ccn(n3)C(C)C)sc2cccc1SC,CSc1cccc2sc(N3CCN(C(=O)c4ccn(C(C)C)n4)CC3)nc12,CSC1=CC=CC2=C1N=C(N1CCN(C(=O)C3=NN(C(C)C)C=C3)CC1)S2,[CH3][S][c]1[cH][cH][cH][c]2[s][c]([N]3[CH2][CH2][N]([C](=[O])[c]4[cH][cH][n]([CH]([CH3])[CH3])[n]4)[CH2][CH2]3)[n][c]12,CSc1cccc2scN3CCNC=Oc4ccnCCCn4CC3nc12,CSc1cccc2sc(N3CCN(C(=O)c4ccn(C(C)C)n4)CC3)nc12
"Cc1ccc(C)c2nc3sc(C(=O)Nc4ccc5c(c4)OCO5)c(N)c3cc12
",4.62954,0.497208168,2.430987929,Cc1ccc(C)c2nc3sc(C(=O)Nc4ccc5c(c4)OCO5)c(N)c3cc12,n1c2c(C)ccc(C)c2cc2c1sc(c2N)C(Nc1ccc2c(c1)OCO2)=O,c1(C)c2c(c(cc1)C)cc1c(c(C(=O)Nc3ccc4c(OCO4)c3)sc1n2)N,Cc1ccc(C)c2nc3sc(C(=O)Nc4ccc5c(c4)OCO5)c(N)c3cc12,CC1=CC=C(C)C2=NC3=C(C=C12)C(N)=C(C(=O)NC1=CC=C2OCOC2=C1)S3,[CH3][c]1[cH][cH][c]([CH3])[c]2[n][c]3[s][c]([C](=[O])[NH][c]4[cH][cH][c]5[c]([cH]4)[O][CH2][O]5)[c]([NH2])[c]3[cH][c]12,Cc1cccCc2nc3scC=ONc4ccc5cc4OCO5cNc3cc12,Cc1ccc(C)c2nc3sc(C(=O)Nc4ccc5c(c4)OCO5)c(N)c3cc12
"COC(=O)CCN(Cc1cnc2ncccn12)C1CCOCC1
",1.2734,0.755977216,2.826947121,COC(=O)CCN(Cc1cnc2ncccn12)C1CCOCC1,c12ncccn2c(cn1)CN(CCC(OC)=O)C1CCOCC1,C1(CCOCC1)N(CCC(OC)=O)Cc1n2c(nc1)nccc2,COC(=O)CCN(Cc1cnc2ncccn12)C1CCOCC1,COC(=O)CCN(CC1=CN=C2N=CC=CN12)C1CCOCC1,[CH3][O][C](=[O])[CH2][CH2][N]([CH2][c]1[cH][n][c]2[n][cH][cH][cH][n]12)[CH]1[CH2][CH2][O][CH2][CH2]1,COC=OCCNCc1cnc2ncccn12C1CCOCC1,COC(=O)CCN(Cc1cnc2ncccn12)C1CCOCC1
"O=C(c1c[nH]c2ccc(F)cc12)N(CC1CC1)CC(F)(F)F
",3.7215,0.833617378,2.477183357,O=C(c1c[nH]c2ccc(F)cc12)N(CC1CC1)CC(F)(F)F,C1(CC1)CN(CC(F)(F)F)C(=O)c1c2c(ccc(c2)F)[nH]c1,C(C1CC1)N(CC(F)(F)F)C(=O)c1c2c(ccc(F)c2)[nH]c1,O=C(c1c[nH]c2ccc(F)cc12)N(CC1CC1)CC(F)(F)F,O=C(C1=CNC2=CC=C(F)C=C12)N(CC1CC1)CC(F)(F)F,[O]=[C]([c]1[cH][nH][c]2[cH][cH][c]([F])[cH][c]12)[N]([CH2][CH]1[CH2][CH2]1)[CH2][C]([F])([F])[F],O=Cc1c[nH]c2cccFcc12NCC1CC1CCFFF,O=C(c1c[nH]c2ccc(F)cc12)N(CC1CC1)CC(F)(F)F
"O=C(Cc1ccc(Cl)cc1)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cc(Cl)ccc1Cl
",4.4909,0.607675478,3.348236231,O=C(Cc1ccc(Cl)cc1)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cc(Cl)ccc1Cl,[C@@H]12[C@@H](CS(=O)(C2)=O)N(c2c(ccc(c2)Cl)Cl)/C(=N\C(Cc2ccc(Cl)cc2)=O)S1,c1cc(ccc1Cl)CC(/N=C1/S[C@H]2[C@H](N1c1c(Cl)ccc(c1)Cl)CS(C2)(=O)=O)=O,O=C(Cc1ccc(Cl)cc1)N=C1SC2CS(=O)(=O)CC2N1c1cc(Cl)ccc1Cl,O=C(CC1=CC=C(Cl)C=C1)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1C1=CC(Cl)=CC=C1Cl,[O]=[C]([CH2][c]1[cH][cH][c]([Cl])[cH][cH]1)/[N]=[C]1/[S][C@@H]2[CH2][S](=[O])(=[O])[CH2][C@H]2[N]1[c]1[cH][c]([Cl])[cH][cH][c]1[Cl],O=CCc1cccClcc1/N=C1/S[C@@H]2CS=O=OC[C@H]2N1c1ccClccc1Cl,O=C(Cc1ccc(Cl)cc1)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cc(Cl)ccc1Cl
"Cc1cccc(C)c1NC(=O)C[NH+]1CCC(OCc2ccc(F)cc2)CC1
",2.64514,0.817002146,3.135914573,Cc1cccc(C)c1NC(=O)C[NH+]1CCC(OCc2ccc(F)cc2)CC1,c1(F)ccc(COC2CC[NH+](CC(=O)Nc3c(cccc3C)C)CC2)cc1,C1C[NH+](CCC1OCc1ccc(cc1)F)CC(=O)Nc1c(C)cccc1C,Cc1cccc(C)c1NC(=O)C[NH+]1CCC(OCc2ccc(F)cc2)CC1,CC1=CC=CC(C)=C1NC(=O)C[NH+]1CCC(OCC2=CC=C(F)C=C2)CC1,[CH3][c]1[cH][cH][cH][c]([CH3])[c]1[NH][C](=[O])[CH2][NH+]1[CH2][CH2][CH]([O][CH2][c]2[cH][cH][c]([F])[cH][cH]2)[CH2][CH2]1,Cc1ccccCc1NC=OC[NH+]1CCCOCc2cccFcc2CC1,Cc1cccc(C)c1NC(=O)C[NH+]1CCC(OCc2ccc(F)cc2)CC1
"C[C@H]1CCC[C@@H](C)N1C(=O)[C@@H]1COCCO1
",1.1913,0.683511548,3.545385386,C[C@@H]1CCC[C@H](C)N1C(=O)[C@@H]1COCCO1,C1[C@H](N([C@@H](C)CC1)C(=O)[C@H]1OCCOC1)C,N1([C@@H](CCC[C@@H]1C)C)C([C@@H]1COCCO1)=O,CC1CCCC(C)N1C(=O)C1COCCO1,C[C@@H]1CCC[C@H](C)N1C(=O)[C@@H]1COCCO1,[CH3][C@@H]1[CH2][CH2][CH2][C@H]([CH3])[N]1[C](=[O])[C@@H]1[CH2][O][CH2][CH2][O]1,C[C@H]1CCC[C@@H]CN1C=O[C@@H]1COCCO1,C[C@@H]1CCC[C@H](C)N1C(=O)[C@@H]1COCCO1
"CC(C)[C@@H](C)CC(=O)NNC(=S)NC1CCCCC1
",2.4966,0.54799161,2.79476089,CC(C)[C@@H](C)CC(=O)NNC(=S)NC1CCCCC1,C1(CCCCC1)NC(=S)NNC(=O)C[C@@H](C(C)C)C,O=C(NNC(NC1CCCCC1)=S)C[C@@H](C(C)C)C,CC(C)C(C)CC(=O)NNC(=S)NC1CCCCC1,CC(C)[C@@H](C)CC(=O)NNC(=S)NC1CCCCC1,[CH3][CH]([CH3])[C@@H]([CH3])[CH2][C](=[O])[NH][NH][C](=[S])[NH][CH]1[CH2][CH2][CH2][CH2][CH2]1,CCC[C@@H]CCC=ONNC=SNC1CCCCC1,CC(C)[C@@H](C)CC(=O)NNC(=S)NC1CCCCC1
"Cc1cccc(NC(=O)CN2C(=O)/C(=C3\SC(=S)N(Cc4ccco4)C3=O)c3ccccc32)c1
",4.34492,0.406267458,2.511334939,Cc1cccc(NC(=O)CN2C(=O)/C(=C3\SC(=S)N(Cc4ccco4)C3=O)c3ccccc32)c1,C(=O)(CN1C(=O)/C(c2c1cccc2)=C1/C(=O)N(C(S1)=S)Cc1occc1)Nc1cc(ccc1)C,c12ccccc2N(C(=O)/C1=C1\SC(=S)N(C1=O)Cc1ccco1)CC(Nc1cccc(c1)C)=O,Cc1cccc(NC(=O)CN2C(=O)C(=C3SC(=S)N(Cc4ccco4)C3=O)c3ccccc32)c1,CC1=CC=CC(NC(=O)CN2C(=O)/C(=C3\SC(=S)N(CC4=CC=CO4)C3=O)C3=CC=CC=C32)=C1,[CH3][c]1[cH][cH][cH][c]([NH][C](=[O])[CH2][N]2[C](=[O])/[C](=[C]3\[S][C](=[S])[N]([CH2][c]4[cH][cH][cH][o]4)[C]3=[O])[c]3[cH][cH][cH][cH][c]32)[cH]1,Cc1ccccNC=OCN2C=O/C=C3\SC=SNCc4ccco4C3=Oc3ccccc32c1,Cc1cccc(NC(=O)CN2C(=O)/C(=C3\SC(=S)N(Cc4ccco4)C3=O)c3ccccc32)c1
"CC(=O)N[C@@H]1C(=O)C[C@@H]2[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C
",3.202,0.783169696,4.24759568,CC(=O)N[C@@H]1C(=O)C[C@@H]2[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,C1C(=O)CC[C@@]2(C=1CC[C@@H]1[C@H]3CC([C@@H](NC(=O)C)[C@]3(CC[C@H]12)C)=O)C,C1[C@H]2[C@@H](CC[C@]3(C)[C@@H](C(C[C@@H]32)=O)NC(=O)C)[C@@]2(C)C(=CC(=O)CC2)C1,CC(=O)NC1C(=O)CC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC(=O)N[C@@H]1C(=O)C[C@@H]2[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,[CH3][C](=[O])[NH][C@@H]1[C](=[O])[CH2][C@@H]2[C@H]3[CH2][CH2][C]4=[CH][C](=[O])[CH2][CH2][C@@]4([CH3])[C@@H]3[CH2][CH2][C@]12[CH3],CC=ON[C@@H]1C=OC[C@@H]2[C@H]3CCC4=CC=OCC[C@@]4C[C@@H]3CC[C@]12C,CC(=O)N[C@@H]1C(=O)C[C@@H]2[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C
"CCCNC(=O)[C@H]1CS[C@H](c2ccccc2O)N1C(C)=O
",1.8809,0.896489932,3.087670663,CCCNC(=O)[C@H]1CS[C@H](c2ccccc2O)N1C(C)=O,c1ccc(c(c1)O)[C@H]1SC[C@@H](N1C(C)=O)C(NCCC)=O,Oc1ccccc1[C@@H]1N(C(C)=O)[C@H](CS1)C(=O)NCCC,CCCNC(=O)C1CSC(c2ccccc2O)N1C(C)=O,CCCNC(=O)[C@H]1CS[C@H](C2=CC=CC=C2O)N1C(C)=O,[CH3][CH2][CH2][NH][C](=[O])[C@H]1[CH2][S][C@H]([c]2[cH][cH][cH][cH][c]2[OH])[N]1[C]([CH3])=[O],CCCNC=O[C@H]1CS[C@H]c2ccccc2ON1CC=O,CCCNC(=O)[C@H]1CS[C@H](c2ccccc2O)N1C(C)=O
"Cc1ccc(N2CC[C@H](C(=O)NC[C@@H](CC(C)C)N3CCOCC3)C2=O)cc1
",2.21102,0.730991683,3.175725777,Cc1ccc(N2CC[C@H](C(=O)NC[C@@H](CC(C)C)N3CCOCC3)C2=O)cc1,C1OCCN(C1)[C@H](CC(C)C)CNC(=O)[C@H]1CCN(C1=O)c1ccc(cc1)C,C1OCCN(C1)[C@H](CC(C)C)CNC([C@@H]1C(N(CC1)c1ccc(cc1)C)=O)=O,Cc1ccc(N2CCC(C(=O)NCC(CC(C)C)N3CCOCC3)C2=O)cc1,CC1=CC=C(N2CC[C@H](C(=O)NC[C@@H](CC(C)C)N3CCOCC3)C2=O)C=C1,[CH3][c]1[cH][cH][c]([N]2[CH2][CH2][C@H]([C](=[O])[NH][CH2][C@@H]([CH2][CH]([CH3])[CH3])[N]3[CH2][CH2][O][CH2][CH2]3)[C]2=[O])[cH][cH]1,Cc1cccN2CC[C@H]C=ONC[C@@H]CCCCN3CCOCC3C2=Occ1,Cc1ccc(N2CC[C@H](C(=O)NC[C@@H](CC(C)C)N3CCOCC3)C2=O)cc1
"COc1ccc(NC(=O)CCc2ccc3c(c2)OCCO3)cc1OC
",3.0463,0.863250381,1.882683928,COc1ccc(NC(=O)CCc2ccc3c(c2)OCCO3)cc1OC,C(Cc1cc2c(cc1)OCCO2)C(=O)Nc1cc(OC)c(cc1)OC,C(CCc1ccc2c(OCCO2)c1)(Nc1cc(OC)c(cc1)OC)=O,COc1ccc(NC(=O)CCc2ccc3c(c2)OCCO3)cc1OC,COC1=CC=C(NC(=O)CCC2=CC=C3OCCOC3=C2)C=C1OC,[CH3][O][c]1[cH][cH][c]([NH][C](=[O])[CH2][CH2][c]2[cH][cH][c]3[c]([cH]2)[O][CH2][CH2][O]3)[cH][c]1[O][CH3],COc1cccNC=OCCc2ccc3cc2OCCO3cc1OC,COc1ccc(NC(=O)CCc2ccc3c(c2)OCCO3)cc1OC
"Cc1ccc(C(F)(F)F)cc1/C=C/C(=O)[O-]
",1.77692,0.730242072,2.736080343,Cc1ccc(C(F)(F)F)cc1/C=C/C(=O)[O-],c1(C(F)(F)F)ccc(c(/C=C/C(=O)[O-])c1)C,c1c(c(/C=C/C(=O)[O-])cc(C(F)(F)F)c1)C,Cc1ccc(C(F)(F)F)cc1C=CC(=O)[O-],CC1=CC=C(C(F)(F)F)C=C1/C=C/C(=O)[O-],[CH3][c]1[cH][cH][c]([C]([F])([F])[F])[cH][c]1/[CH]=[CH]/[C](=[O])[O-],Cc1cccCFFFcc1/C=C/C=O[O-],Cc1ccc(C(F)(F)F)cc1/C=C/C(=O)[O-]
"Cc1ccccc1C(=O)Nc1ccc(N2CC[NH+](Cc3ccccc3)CC2)cc1
",3.15242,0.69707427,2.802015872,Cc1ccccc1C(=O)Nc1ccc(N2CC[NH+](Cc3ccccc3)CC2)cc1,c1c(C)c(C(=O)Nc2ccc(cc2)N2CC[NH+](CC2)Cc2ccccc2)ccc1,c1(C)ccccc1C(=O)Nc1ccc(cc1)N1CC[NH+](CC1)Cc1ccccc1,Cc1ccccc1C(=O)Nc1ccc(N2CC[NH+](Cc3ccccc3)CC2)cc1,CC1=CC=CC=C1C(=O)NC1=CC=C(N2CC[NH+](CC3=CC=CC=C3)CC2)C=C1,[CH3][c]1[cH][cH][cH][cH][c]1[C](=[O])[NH][c]1[cH][cH][c]([N]2[CH2][CH2][NH+]([CH2][c]3[cH][cH][cH][cH][cH]3)[CH2][CH2]2)[cH][cH]1,Cc1ccccc1C=ONc1cccN2CC[NH+]Cc3ccccc3CC2cc1,Cc1ccccc1C(=O)Nc1ccc(N2CC[NH+](Cc3ccccc3)CC2)cc1
"c1cc(C[NH2+]Cc2ccco2)cc(OC2CCCC2)c1
",2.8646,0.871295721,3.040752718,c1cc(C[NH2+]Cc2ccco2)cc(OC2CCCC2)c1,C(c1cc(OC2CCCC2)ccc1)[NH2+]Cc1ccco1,C([NH2+]Cc1ccco1)c1cc(ccc1)OC1CCCC1,c1cc(C[NH2+]Cc2ccco2)cc(OC2CCCC2)c1,C1=CC(C[NH2+]CC2=CC=CO2)=CC(OC2CCCC2)=C1,[cH]1[cH][c]([CH2][NH2+][CH2][c]2[cH][cH][cH][o]2)[cH][c]([O][CH]2[CH2][CH2][CH2][CH2]2)[cH]1,c1ccC[NH2+]Cc2ccco2ccOC2CCCC2c1,c1cc(C[NH2+]Cc2ccco2)cc(OC2CCCC2)c1
"O=C(c1cccs1)N(Cc1ccc(F)cc1)Cc1cc(-c2ccccc2)cn2nnnc12
",4.8345,0.360487284,2.549660106,O=C(c1cccs1)N(Cc1ccc(F)cc1)Cc1cc(-c2ccccc2)cn2nnnc12,c1cc(CN(Cc2c3nnnn3cc(c2)-c2ccccc2)C(=O)c2sccc2)ccc1F,c1cc(sc1)C(N(Cc1ccc(F)cc1)Cc1c2n(nnn2)cc(-c2ccccc2)c1)=O,O=C(c1cccs1)N(Cc1ccc(F)cc1)Cc1cc(-c2ccccc2)cn2nnnc12,O=C(C1=CC=CS1)N(CC1=CC=C(F)C=C1)CC1=CC(C2=CC=CC=C2)=CN2N=NN=C12,[O]=[C]([c]1[cH][cH][cH][s]1)[N]([CH2][c]1[cH][cH][c]([F])[cH][cH]1)[CH2][c]1[cH][c](-[c]2[cH][cH][cH][cH][cH]2)[cH][n]2[n][n][n][c]12,O=Cc1cccs1NCc1cccFcc1Cc1cc-c2ccccc2cn2nnnc12,O=C(c1cccs1)N(Cc1ccc(F)cc1)Cc1cc(-c2ccccc2)cn2nnnc12
"COc1ccccc1CC(=O)N[C@@H]1CS(=O)(=O)C[C@H]1Cl
",0.7583,0.846108841,3.032988861,COc1ccccc1CC(=O)N[C@@H]1CS(=O)(=O)C[C@H]1Cl,c1c(OC)c(CC(N[C@H]2[C@@H](CS(C2)(=O)=O)Cl)=O)ccc1,c1cccc(CC(N[C@@H]2CS(C[C@H]2Cl)(=O)=O)=O)c1OC,COc1ccccc1CC(=O)NC1CS(=O)(=O)CC1Cl,COC1=CC=CC=C1CC(=O)N[C@@H]1CS(=O)(=O)C[C@H]1Cl,[CH3][O][c]1[cH][cH][cH][cH][c]1[CH2][C](=[O])[NH][C@@H]1[CH2][S](=[O])(=[O])[CH2][C@H]1[Cl],COc1ccccc1CC=ON[C@@H]1CS=O=OC[C@H]1Cl,COc1ccccc1CC(=O)N[C@@H]1CS(=O)(=O)C[C@H]1Cl
"c1cc(-c2nc3c4cn[nH]c4ncn3n2)ccc1COc1ccc2c(c1)CCC2
",3.7353,0.49744406,2.594161473,c1cc(-c2nc3c4cn[nH]c4ncn3n2)ccc1COc1ccc2c(c1)CCC2,c12ncn3nc(nc3c2cn[nH]1)-c1ccc(cc1)COc1cc2c(CCC2)cc1,c12[nH]ncc2c2nc(nn2cn1)-c1ccc(cc1)COc1cc2CCCc2cc1,c1cc(-c2nc3c4cn[nH]c4ncn3n2)ccc1COc1ccc2c(c1)CCC2,C1=CC(C2=NN3C=NC4=C(C=NN4)C3=N2)=CC=C1COC1=CC=C2CCCC2=C1,[cH]1[cH][c](-[c]2[n][c]3[c]4[cH][n][nH][c]4[n][cH][n]3[n]2)[cH][cH][c]1[CH2][O][c]1[cH][cH][c]2[c]([cH]1)[CH2][CH2][CH2]2,c1cc-c2nc3c4cn[nH]c4ncn3n2ccc1COc1ccc2cc1CCC2,c1cc(-c2nc3c4cn[nH]c4ncn3n2)ccc1COc1ccc2c(c1)CCC2
"CN(C(=O)c1ccc(Cl)cc1O)C1CCC(=O)CC1
",2.6293,0.903566347,2.328620541,CN(C(=O)c1ccc(Cl)cc1O)C1CCC(=O)CC1,CN(C(c1ccc(Cl)cc1O)=O)C1CCC(=O)CC1,Clc1cc(O)c(cc1)C(N(C)C1CCC(=O)CC1)=O,CN(C(=O)c1ccc(Cl)cc1O)C1CCC(=O)CC1,CN(C(=O)C1=CC=C(Cl)C=C1O)C1CCC(=O)CC1,[CH3][N]([C](=[O])[c]1[cH][cH][c]([Cl])[cH][c]1[OH])[CH]1[CH2][CH2][C](=[O])[CH2][CH2]1,CNC=Oc1cccClcc1OC1CCC=OCC1,CN(C(=O)c1ccc(Cl)cc1O)C1CCC(=O)CC1
"CNC(=O)CNS(=O)(=O)c1cccc(C(F)(F)F)c1
",0.7297,0.874555237,2.04864279,CNC(=O)CNS(=O)(=O)c1cccc(C(F)(F)F)c1,N(C(=O)CNS(=O)(=O)c1cccc(c1)C(F)(F)F)C,O=S(NCC(NC)=O)(c1cc(ccc1)C(F)(F)F)=O,CNC(=O)CNS(=O)(=O)c1cccc(C(F)(F)F)c1,CNC(=O)CNS(=O)(=O)C1=CC=CC(C(F)(F)F)=C1,[CH3][NH][C](=[O])[CH2][NH][S](=[O])(=[O])[c]1[cH][cH][cH][c]([C]([F])([F])[F])[cH]1,CNC=OCNS=O=Oc1ccccCFFFc1,CNC(=O)CNS(=O)(=O)c1cccc(C(F)(F)F)c1
"Cc1ccc(S(=O)(=O)N2C[C@@H](CC(=O)[O-])c3ccccc32)c(C)c1
",1.73594,0.852727095,3.131172239,Cc1ccc(S(=O)(=O)N2C[C@@H](CC(=O)[O-])c3ccccc32)c(C)c1,c1(cc(c(S(=O)(N2C[C@@H](CC([O-])=O)c3ccccc23)=O)cc1)C)C,c1ccc2[C@H](CC([O-])=O)CN(S(=O)(=O)c3c(cc(C)cc3)C)c2c1,Cc1ccc(S(=O)(=O)N2CC(CC(=O)[O-])c3ccccc32)c(C)c1,CC1=CC=C(S(=O)(=O)N2C[C@@H](CC(=O)[O-])C3=CC=CC=C32)C(C)=C1,[CH3][c]1[cH][cH][c]([S](=[O])(=[O])[N]2[CH2][C@@H]([CH2][C](=[O])[O-])[c]3[cH][cH][cH][cH][c]32)[c]([CH3])[cH]1,Cc1cccS=O=ON2C[C@@H]CC=O[O-]c3ccccc32cCc1,Cc1ccc(S(=O)(=O)N2C[C@@H](CC(=O)[O-])c3ccccc32)c(C)c1
"Cc1cc(N)nc(SCC(=O)NC[C@@H](c2ccccc2)C(C)C)n1
",3.01532,0.589585065,2.757385703,Cc1cc(N)nc(SCC(=O)NC[C@@H](c2ccccc2)C(C)C)n1,C(NC[C@@H](c1ccccc1)C(C)C)(=O)CSc1nc(cc(N)n1)C,C(C)([C@H](c1ccccc1)CNC(=O)CSc1nc(cc(C)n1)N)C,Cc1cc(N)nc(SCC(=O)NCC(c2ccccc2)C(C)C)n1,CC1=CC(N)=NC(SCC(=O)NC[C@@H](C2=CC=CC=C2)C(C)C)=N1,[CH3][c]1[cH][c]([NH2])[n][c]([S][CH2][C](=[O])[NH][CH2][C@@H]([c]2[cH][cH][cH][cH][cH]2)[CH]([CH3])[CH3])[n]1,Cc1ccNncSCC=ONC[C@@H]c2ccccc2CCCn1,Cc1cc(N)nc(SCC(=O)NC[C@@H](c2ccccc2)C(C)C)n1
"Cn1cc(C(N)=O)c(NC(=O)c2ccc3sccc3c2)n1
",1.986,0.77878187,2.423793294,Cn1cc(C(N)=O)c(NC(=O)c2ccc3sccc3c2)n1,c1c(C(=O)Nc2c(cn(C)n2)C(N)=O)ccc2c1ccs2,C(c1ccc2c(ccs2)c1)(Nc1nn(C)cc1C(=O)N)=O,Cn1cc(C(N)=O)c(NC(=O)c2ccc3sccc3c2)n1,CN1C=C(C(N)=O)C(NC(=O)C2=CC=C3SC=CC3=C2)=N1,[CH3][n]1[cH][c]([C]([NH2])=[O])[c]([NH][C](=[O])[c]2[cH][cH][c]3[s][cH][cH][c]3[cH]2)[n]1,Cn1ccCN=OcNC=Oc2ccc3sccc3c2n1,Cn1cc(C(N)=O)c(NC(=O)c2ccc3sccc3c2)n1
